diploma;position;programming_skill;matplotlib;seaborn;plotly;geoplotlib;no_dataviz;scikitlearn;tensorflow;keras;pytorch;fastai;no_machine_learning;linear_regression;decision_trees_or_random_forests;gradient_boosting;dense_neural_networks;convolutional_neural_networks;no_machine_learning_algorithm;main_activity_data_analyze;main_activity_build_run_data_infrastructure;main_activity_build_prototype_for_machine_learning;main_activity_improvement_of_machine_learning_model
Master’s degree;Data Scientist;;;;;;;;;;;;;;;;;;;;;;
Doctoral degree;Data Scientist;Python;Matplotlib;;;;;;;;;;None;Linear or Logistic Regression;;;;;;;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;;;;;;;;;
Doctoral degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;R;;;;;;;;;;;None;Linear or Logistic Regression;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Analyst;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Doctoral degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Some college/university study without earning a bachelor’s degree;Data Scientist;Python;;;;;;;;;;;;;;;;;;;;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;;;;;;None;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;;
Doctoral degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;;;;;;None;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
I prefer not to answer;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;SQL;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;
Doctoral degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;;;;;Convolutional Neural Networks;;;;;
Master’s degree;Machine Learning Engineer;Python;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;;;;;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Analyst;Java;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;R;Matplotlib;;Plotly / Plotly Express;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Doctoral degree;Data Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;Geoplotlib;;Scikit-learn;TensorFlow;;PyTorch;Fast.ai;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;R;;;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;;;;
Master’s degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;SQL;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;Experimentation and iteration to improve existing ML models
Doctoral degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Data Analyst;;;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;;;;;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Engineer;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Bachelor’s degree;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;;;Geoplotlib;;;TensorFlow;Keras;PyTorch;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Analyst;C++;;;;;None;;;;;;;;;;;;;;;;
Master’s degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;Keras;PyTorch;;;Linear or Logistic Regression;;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;PyTorch;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;;;;;;;;
Doctoral degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Some college/university study without earning a bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;;;;;;;;;;;;;;;;;;;;;;
Master’s degree;Data Scientist;Python;;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Doctoral degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Engineer;C++;;;;;None;;;;;;;;;;;;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Analyst;Python;;;;;None;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;;;;;Scikit-learn;;;;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;;;
Master’s degree;Data Analyst;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;;;;;;;PyTorch;;;;;;;Convolutional Neural Networks;;;;;
Master’s degree;Data Engineer;Python;Matplotlib;;;;;;TensorFlow;;;;;;;;Dense Neural Networks (MLPs, etc);;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;R;Matplotlib;;;;;;;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Doctoral degree;Data Scientist;SQL;Matplotlib;;;;;;;Keras;;;;;;;Dense Neural Networks (MLPs, etc);;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Analyst;Python;;Seaborn;;Geoplotlib;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Bachelor’s degree;Data Engineer;SQL;Matplotlib;Seaborn;;;;Scikit-learn;;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;;
Master’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Professional degree;Data Analyst;Python;;;;;;;;;;;;;;;;;;;;;
Professional degree;Data Scientist;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;
Some college/university study without earning a bachelor’s degree;Data Analyst;;;;;;;;;;;;;;;;;;;;;;
I prefer not to answer;Data Analyst;Python;Matplotlib;Seaborn;;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Analyst;SQL;;;Plotly / Plotly Express;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Doctoral degree;Machine Learning Engineer;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;;;;;;;;;Convolutional Neural Networks;;;;;
Bachelor’s degree;Machine Learning Engineer;Python;Matplotlib;Seaborn;Plotly / Plotly Express;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;Convolutional Neural Networks;;;;;
Bachelor’s degree;Data Scientist;Python;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;PyTorch;;;;;Gradient Boosting Machines (xgboost, lightgbm, etc);;Convolutional Neural Networks;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Data Engineer;Python;;Seaborn;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;;Gradient Boosting Machines (xgboost, lightgbm, etc);;;;;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Analyst;Python;Matplotlib;;Plotly / Plotly Express;;;Scikit-learn;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;;
Master’s degree;Data Scientist;Python;Matplotlib;;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;Gradient Boosting Machines (xgboost, lightgbm, etc);Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Bachelor’s degree;Machine Learning Engineer;R;Matplotlib;Seaborn;;;;Scikit-learn;TensorFlow;Keras;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;Dense Neural Networks (MLPs, etc);Convolutional Neural Networks;;;;;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;R;Matplotlib;;;;;;;;;;;Linear or Logistic Regression;Decision Trees or Random Forests;;;;;Analyze and understand data to influence product or business decisions;;Build prototypes to explore applying machine learning to new areas;Experimentation and iteration to improve existing ML models
Master’s degree;Data Scientist;R;;;;;;;;;;;;;;;;;;Analyze and understand data to influence product or business decisions;;;
