index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
529;40-44;Man;United States of America;Bachelor’s degree;Data Engineer;1-2 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;1000-9,999 employees;20+;We are exploring ML methods (and may one day put a model into production);100,000-124,999;$1000-$9,999;IBM Db2 ;;Advanced statistical software (SPSS, SAS, etc.)
530;25-29;Man;Pakistan;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
531;40-44;Man;United States of America;Bachelor’s degree;Machine Learning Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;4-5 years;250-999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);200,000-249,999;$100-$999;;Looker;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
532;35-39;Man;Australia;Doctoral degree;Data Scientist;5-10 years;R;A personal computer or laptop;Never;3-4 years;1000-9,999 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);90,000-99,999;$100,000 or more ($USD);Oracle Database ;;Local development environments (RStudio, JupyterLab, etc.)
533;30-34;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;5-10 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;1000-9,999 employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$100,000 or more ($USD);Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
534;22-24;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;
535;22-24;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;1-2 years;0-49 employees;1-2;I do not know;;;;;
536;22-24;Man;India;Bachelor’s degree;Data Engineer;;;;;;;;;;;;;
537;25-29;Man;Canada;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;0;We use ML methods for generating insights (but do not put working models into production);30,000-39,999;$0 ($USD);;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
538;22-24;Woman;Other;Master’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
539;25-29;Woman;Brazil;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;3-4 years;1000-9,999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
540;30-34;Man;Nigeria;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);$0-999;$1000-$9,999;Google Cloud SQL ;;Other
541;35-39;Woman;Brazil;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;0-49 employees;0;;;;;;
542;30-34;Man;Germany;Master’s degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;3-4 years;250-999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);90,000-99,999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
543;40-44;Man;Argentina;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);40,000-49,999;$100-$999;IBM Db2 ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
544;22-24;Man;Italy;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;We are exploring ML methods (and may one day put a model into production);25,000-29,999;$1000-$9,999;;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
545;22-24;Man;Nepal;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;More than 25 times;1-2 years;0-49 employees;0;I do not know;$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
546;35-39;Man;Germany;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;1-2 years;10,000 or more employees;1-2;We use ML methods for generating insights (but do not put working models into production);70,000-79,999;$10,000-$99,999;;SAP Analytics Cloud ;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
547;22-24;Man;India;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);1,000-1,999;$100,000 or more ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
548;35-39;Man;India;Professional degree;Data Scientist;10-20 years;Python;A personal computer or laptop;6-25 times;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$100-$999;MySQL ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
549;25-29;Woman;India;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;250-999 employees;10-14;We use ML methods for generating insights (but do not put working models into production);7,500-9,999;$100-$999;MySQL ;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
550;22-24;Man;Greece;Master’s degree;Data Analyst;1-2 years;Python;;;;;;;;;;;
551;22-24;Woman;United States of America;Master’s degree;Data Analyst;3-5 years;Python;;;;;;;;;;;
552;25-29;Man;Brazil;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Once;Under 1 year;10,000 or more employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$100-$999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
553;25-29;Woman;Iran, Islamic Republic of...;Master’s degree;Machine Learning Engineer;3-5 years;MATLAB;A personal computer or laptop;Once;2-3 years;0-49 employees;0;I do not know;$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
554;18-21;Woman;Egypt;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;10-14;We use ML methods for generating insights (but do not put working models into production);;;;;
555;25-29;Man;India;Master’s degree;Data Analyst;3-5 years;SQL;A personal computer or laptop;Never;2-3 years;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$1-$99;Amazon DynamoDB ;Tableau;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
556;25-29;Man;China;Master’s degree;Data Analyst;3-5 years;R;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;50-249 employees;3-4;We are exploring ML methods (and may one day put a model into production);30,000-39,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
557;22-24;Woman;Turkey;Master’s degree;Machine Learning Engineer;1-2 years;Python;;;;;;;;;;;
558;35-39;Man;United Kingdom of Great Britain and Northern Ireland;Doctoral degree;Machine Learning Engineer;10-20 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;10-20 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$10,000-$99,999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
559;35-39;Man;Indonesia;Master’s degree;Data Scientist;10-20 years;SQL;A personal computer or laptop;Never;5-10 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);2,000-2,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
560;30-34;Woman;Russia;Some college/university study without earning a bachelor’s degree;Data Scientist;< 1 years;SQL;A personal computer or laptop;Never;Under 1 year;50-249 employees;1-2;No (we do not use ML methods);10,000-14,999;$1000-$9,999;;Microsoft Power BI;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
561;25-29;Man;India;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;10-14;I do not know;$0-999;$1000-$9,999;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
562;55-59;Prefer not to say;Spain;Master’s degree;Machine Learning Engineer;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;10-20 years;10,000 or more employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$1000-$9,999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
563;22-24;Woman;Nigeria;Bachelor’s degree;Data Analyst;1-2 years;SQL;;;;;;;;;;;
564;25-29;Man;India;Master’s degree;Data Scientist;10-20 years;Python;A personal computer or laptop;Never;4-5 years;50-249 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$1000-$9,999;MySQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
565;60-69;Man;Japan;Master’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;3-4 years;10,000 or more employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
566;70+;Man;France;Doctoral degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);60,000-69,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
567;25-29;Woman;United States of America;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;2-3 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
568;35-39;Man;Brazil;Master’s degree;Machine Learning Engineer;20+ years;Python;A personal computer or laptop;Never;4-5 years;0-49 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
569;50-54;Man;Argentina;Doctoral degree;Data Analyst;10-20 years;Python;A personal computer or laptop;Once;4-5 years;0-49 employees;1-2;No (we do not use ML methods);4,000-4,999;$100-$999;MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
570;25-29;Man;India;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;3-4;I do not know;4,000-4,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
571;25-29;Man;India;Master’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;;;;;;;
572;40-44;Man;Canada;Bachelor’s degree;Data Scientist;10-20 years;SQL;A personal computer or laptop;Never;2-3 years;1000-9,999 employees;5-9;We are exploring ML methods (and may one day put a model into production);70,000-79,999;$1000-$9,999;;Microsoft Power BI;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
573;25-29;Man;Taiwan;Doctoral degree;Data Engineer;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);25,000-29,999;$0 ($USD);;;
574;40-44;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;Under 1 year;1000-9,999 employees;5-9;We are exploring ML methods (and may one day put a model into production);60,000-69,999;$10,000-$99,999;;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
575;50-54;Man;Thailand;Master’s degree;Data Analyst;20+ years;SQL;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;0;No (we do not use ML methods);25,000-29,999;$1-$99;Oracle Database ;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
576;22-24;Woman;India;Bachelor’s degree;Data Engineer;< 1 years;Python;;;;;;;;;;;
577;40-44;Man;India;Master’s degree;Data Scientist;10-20 years;R;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;5-10 years;50-249 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$10,000-$99,999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
578;25-29;Man;Nigeria;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;
579;35-39;Man;United States of America;Bachelor’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;2-3 years;250-999 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
580;45-49;Woman;United States of America;Master’s degree;Data Scientist;5-10 years;Javascript;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;2-3 years;10,000 or more employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);90,000-99,999;$100,000 or more ($USD);;Tableau;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
581;25-29;Man;India;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;0-49 employees;5-9;We use ML methods for generating insights (but do not put working models into production);50,000-59,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
582;22-24;Man;India;Bachelor’s degree;Machine Learning Engineer;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);3,000-3,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
583;22-24;Man;United States of America;Bachelor’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;1000-9,999 employees;15-19;We use ML methods for generating insights (but do not put working models into production);125,000-149,999;$10,000-$99,999;Snowflake ;;Local development environments (RStudio, JupyterLab, etc.)
584;22-24;Man;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;10,000 or more employees;0;I do not know;5,000-7,499;$10,000-$99,999;;;
585;25-29;Man;Russia;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$10,000-$99,999;Google Cloud BigQuery ;;Local development environments (RStudio, JupyterLab, etc.)
586;22-24;Man;Indonesia;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
587;22-24;Woman;Russia;No formal education past high school;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);3,000-3,999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
588;25-29;Man;Germany;Master’s degree;Data Scientist;5-10 years;Python;;;;;;;;;;;
589;25-29;Man;Iran, Islamic Republic of...;Doctoral degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);2-5 times;;;;;;;;;
590;22-24;Man;India;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;I do not know;$0-999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
591;22-24;Man;India;Master’s degree;Data Analyst;1-2 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);6-25 times;Under 1 year;250-999 employees;15-19;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
592;45-49;Man;Sweden;Some college/university study without earning a bachelor’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;5-10 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);40,000-49,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
593;35-39;Woman;Australia;Master’s degree;Data Analyst;I have never written code;;;;;1000-9,999 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$0 ($USD);;;
594;25-29;Prefer not to say;Kenya;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;2-3 years;250-999 employees;5-9;We use ML methods for generating insights (but do not put working models into production);2,000-2,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
595;22-24;Man;Malaysia;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;2-3 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$100-$999;MySQL ;Google Data Studio;Local development environments (RStudio, JupyterLab, etc.)
596;22-24;Man;Philippines;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;50-249 employees;5-9;No (we do not use ML methods);3,000-3,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
597;30-34;Man;India;Doctoral degree;Machine Learning Engineer;3-5 years;Python;A personal computer or laptop;Never;4-5 years;250-999 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
598;25-29;Man;India;Master’s degree;Data Scientist;1-2 years;;;;;;;;;;;;
599;30-34;Man;Malaysia;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);25,000-29,999;$1000-$9,999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
600;25-29;Man;Brazil;Bachelor’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;1-2 years;10,000 or more employees;5-9;We use ML methods for generating insights (but do not put working models into production);$0-999;$1-$99;Microsoft SQL Server ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
601;30-34;Man;Thailand;I prefer not to answer;Data Engineer;I have never written code;;;;;0-49 employees;;;;;;;
602;22-24;Man;India;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;2-5 times;;;;;;;;;
603;18-21;Man;India;Bachelor’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;;;;;;;;
604;25-29;Man;Japan;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;4-5 years;250-999 employees;10-14;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;
605;30-34;Man;India;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;4-5 years;1000-9,999 employees;5-9;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Other
606;18-21;Man;Other;Master’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Never;3-4 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$1-$99;Google Cloud BigQuery ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
607;25-29;Woman;Nigeria;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;20+;We use ML methods for generating insights (but do not put working models into production);$0-999;$10,000-$99,999;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
608;25-29;Man;United States of America;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$100,000 or more ($USD);MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
609;25-29;Man;Pakistan;Master’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;
610;25-29;Nonbinary;India;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;;;;;;;;;;
611;40-44;Man;Greece;Doctoral degree;Data Analyst;20+ years;Python;A personal computer or laptop;2-5 times;10-20 years;10,000 or more employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);20,000-24,999;$100,000 or more ($USD);Microsoft SQL Server ;;Advanced statistical software (SPSS, SAS, etc.)
612;25-29;Man;Brazil;Bachelor’s degree;Data Analyst;3-5 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;2-3 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$100,000 or more ($USD);MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
613;25-29;Man;Chile;Professional degree;Data Scientist;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
614;25-29;Man;Nigeria;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;5-9;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
615;18-21;Man;United States of America;Bachelor’s degree;Data Scientist;5-10 years;R;A personal computer or laptop;Never;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);300,000-500,000;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
616;25-29;Man;United States of America;Master’s degree;Data Scientist;1-2 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$1-$99;SQLite ;;
617;40-44;Man;Germany;Doctoral degree;Data Scientist;20+ years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;10,000 or more employees;20+;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$100,000 or more ($USD);MongoDB ;;Local development environments (RStudio, JupyterLab, etc.)
618;45-49;Man;Other;Doctoral degree;Data Scientist;10-20 years;R;A personal computer or laptop;Never;10-20 years;250-999 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$1000-$9,999;Microsoft SQL Server ;;Advanced statistical software (SPSS, SAS, etc.)
619;22-24;Man;Canada;Master’s degree;Data Scientist;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;$10,000-$99,999;Other;;Local development environments (RStudio, JupyterLab, etc.)
620;40-44;Man;Germany;Doctoral degree;Machine Learning Engineer;10-20 years;Python;A personal computer or laptop;Never;5-10 years;0-49 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
621;25-29;Man;Netherlands;Master’s degree;Data Scientist;1-2 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Once;3-4 years;0-49 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;$1000-$9,999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
622;40-44;Man;United States of America;Doctoral degree;Data Scientist;10-20 years;Python;A personal computer or laptop;2-5 times;5-10 years;0-49 employees;5-9;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;$1000-$9,999;MongoDB ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
623;22-24;Man;China;Bachelor’s degree;Machine Learning Engineer;3-5 years;;;;;;;;;;;;
624;25-29;Man;China;Doctoral degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
625;40-44;Man;Japan;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);60,000-69,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
626;55-59;Man;United States of America;Doctoral degree;Data Scientist;10-20 years;C;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;10-20 years;250-999 employees;5-9;We are exploring ML methods (and may one day put a model into production);150,000-199,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
627;22-24;Man;India;Bachelor’s degree;Data Analyst;1-2 years;Python;;;;;;;;;;;
628;45-49;Prefer not to say;United States of America;Master’s degree;Data Scientist;20+ years;Python;A personal computer or laptop;Never;20 or more years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$1000-$9,999;PostgresSQL ;;Local development environments (RStudio, JupyterLab, etc.)
629;35-39;Man;United States of America;Bachelor’s degree;Data Scientist;10-20 years;C++;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;1-2;We are exploring ML methods (and may one day put a model into production);125,000-149,999;$100-$999;Microsoft SQL Server ;Tableau;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
630;22-24;Man;India;Bachelor’s degree;Data Engineer;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);;;;;
631;22-24;Man;Kenya;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;Under 1 year;0-49 employees;0;No (we do not use ML methods);$0-999;$100-$999;MySQL ;;
632;35-39;Man;Israel;Doctoral degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Never;3-4 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);50,000-59,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
633;30-34;Man;Other;Bachelor’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;1-2;We are exploring ML methods (and may one day put a model into production);40,000-49,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
634;22-24;Man;Other;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Once;1-2 years;1000-9,999 employees;5-9;We use ML methods for generating insights (but do not put working models into production);$0-999;$100-$999;MySQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
635;22-24;Man;Ghana;Bachelor’s degree;Data Engineer;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;Under 1 year;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;$1000-$9,999;Google Cloud BigQuery ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
636;30-34;Man;Brazil;Master’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;2-5 times;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);15,000-19,999;$1000-$9,999;MongoDB ;Microsoft Power BI;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
637;30-34;Man;Nigeria;Master’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;2-3 years;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);$0-999;$0 ($USD);;;Other
638;40-44;Woman;United States of America;Bachelor’s degree;Data Analyst;10-20 years;SQL;A personal computer or laptop;Never;Under 1 year;0-49 employees;1-2;No (we do not use ML methods);70,000-79,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
